Country,Refinery Name,Owner/Operator,Location,Approx. Lat/Long,Capacity (bpd),Approx. Annual (barrels),Status / Notes (April 2026),Source 1,Source 2,Source 3,Source 4
Nigeria,Dangote Refinery,Dangote Group (majority; NNPC 20%),"Lekki Free Trade Zone, Lagos","6.43°N, 3.99°E","650,000",~237 million,Fully operational at/near nameplate capacity; exports ongoing,https://en.wikipedia.org/wiki/Dangote_refinery,https://thenationonlineng.net/full-list-top-10-largest-refineries-in-africa-2026/,https://refinery.dangote.com/,https://insightsng.com/top-10-largest-refineries-in-africa-2026-how-the-continent-is-reducing-fuel-imports-and-building-energy-independence/
Nigeria,Port Harcourt Refinery (PHRC),NNPC Limited,"Alesa-Eleme, Rivers State","4.76°N, 7.11°E","210,000",~77 million,Rehabilitation ongoing; very limited/intermittent output; partner selection targeted mid-2026,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://thenationonlineng.net/full-list-top-10-largest-refineries-in-africa-2026/,https://punchng.com/nnpc-sets-june-2026-deadline-for-refinery-partners/,
Nigeria,Warri Refinery,NNPC Limited,"Warri, Delta State","5.57°N, 5.72°E","125,000",~46 million,Rehabilitation ongoing; largely inactive,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://punchng.com/nnpc-sets-june-2026-deadline-for-refinery-partners/,https://en.wikipedia.org/wiki/List_of_oil_refineries,
Nigeria,Kaduna Refinery,NNPC Limited,Kaduna,"10.41°N, 7.49°E","110,000",~40 million,Rehabilitation ongoing; largely inactive,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://punchng.com/nnpc-sets-june-2026-deadline-for-refinery-partners/,https://en.wikipedia.org/wiki/List_of_oil_refineries,
Nigeria,Waltersmith Modular Refinery,Waltersmith (private),"Ibigwe / Ohaji, Imo State","5.40°N, 6.90°E","5,000–10,000",~2–3.7 million,Operational (small modular),https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Ghana,Tema Oil Refinery (TOR),Tema Oil Refinery Ltd (state-linked),Tema,"5.67°N, 0.01°E","45,000",~16 million,"Resumed Dec 2025; currently ~28,000 bpd; upgrade/ramp-up planned",https://en.wikipedia.org/wiki/Tema_Oil_Refinery,https://torghana.gov.gh/update-on-operations/,https://africa.businessinsider.com/local/markets/ghanas-tema-refinery-plans-major-upgrade-capacity-set-to-reach-45000-bpd/d0v6x7q,https://www.ghanaweb.com/GhanaHomePage/business/2026-SONA-TOR-resumes-operations-after-years-of-shutdown-Mahama-2023578
Ghana,Sentuo Oil Refinery (SORL),Sentuo Oil Refinery Limited (private/Chinese-linked),Tema Industrial Zone,"5.67°N, 0.01°E","100,000",~36.5 million,Operational (Phase 1 running),https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Ghana,Akwaaba Refinery,Private (modular),Tema,"5.67°N, 0.01°E","5,000",~1.8 million,Operational but inconsistent,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Ghana,Platon Gas Oil Refinery,Private (modular),Tema,"5.67°N, 0.01°E","3,000",~1.1 million,Operational but inconsistent,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Algeria,Skikda Refinery I,Sonatrach (state-owned),Skikda,"36.87°N, 6.97°E","356,500",~130 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://thenationonlineng.net/full-list-top-10-largest-refineries-in-africa-2026/,https://en.wikipedia.org/wiki/List_of_oil_refineries,
Algeria,Skikda Condensate Refinery II,Sonatrach (state-owned),Skikda,"36.87°N, 6.97°E","122,000",~44.5 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Algeria,Arzew Refinery,Sonatrach (state-owned),Arzew,"35.85°N, 0.28°W","81,000",~29.5 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Algeria,Algiers (Sidi Rezine) Refinery,Sonatrach (state-owned),Algiers,"36.70°N, 3.20°E","77,000",~28 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Algeria,Hassi Messaoud Refinery,Sonatrach (state-owned),Hassi Messaoud,"31.70°N, 6.07°E","23,000",~8.4 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://sonatrach.com/en/refining-petrochemicals/,https://en.wikipedia.org/wiki/List_of_oil_refineries,
Algeria,Adrar Refinery,Sonatrach / CNPC JV,Adrar,"27.87°N, 0.28°W","13,000",~4.7 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Egypt,Mostorod Refinery (ERC),Egyptian Refining Company (EGPC subsidiary),Cairo area,"30.05°N, 31.25°E","161,000",~59 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Egypt,El-Nasr Refinery,Nasr Petroleum Company (EGPC subsidiary),Suez,"29.97°N, 32.55°E","131,000",~48 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Egypt,MIDOR Refinery,Middle East Oil Refinery (EGPC-linked),Alexandria (Ameriya),"31.20°N, 29.85°E","100,000–170,000",~36.5–62 million,Operational (post-expansion),https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Egypt,Alexandria / El-Mex Refinery,Alexandria Petroleum Company (EGPC subsidiary),Alexandria,"31.20°N, 29.92°E","~100,000",~36.5 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Egypt,Amreya Refinery,Amreya Petroleum Refining Company (EGPC subsidiary),Alexandria,"31.20°N, 29.85°E","80,000",~29 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Egypt,Assiut Refinery,Assiut Oil Refining Company (EGPC subsidiary),Assiut,"27.18°N, 31.18°E","90,000",~33 million,Operational (expansion ongoing),https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
South Africa,Sapref Refinery,Central Energy Fund (state),Durban,"29.89°S, 31.03°E","180,000",~66 million,Shut since 2022; revival/acquisition plans ongoing,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://dailyinvestor.com/energy/129726/three-facilities-stopping-south-africa-from-falling-off-a-cliff/,https://en.wikipedia.org/wiki/List_of_oil_refineries,
